,type,gene,strand,start,end,gene gc%,locus_tag
45,gene,['sleL'],-1,23867,25151,45.95015576323988,BSU_00160
46,CDS,['sleL'],-1,23867,25151,45.95015576323988,BSU_00160
47,gene,['yaaI'],-1,25220,25766,37.72893772893773,BSU_00170
48,CDS,['yaaI'],-1,25220,25766,37.72893772893773,BSU_00170
49,gene,['tadA'],1,25851,26337,45.47325102880658,BSU_00180
50,CDS,['tadA'],1,25851,26337,45.47325102880658,BSU_00180
52,misc_RNA,['scr'],1,26378,26732,47.45762711864407,BSU_misc_RNA_2
51,gene,['scr'],1,26378,26732,47.45762711864407,BSU_misc_RNA_2
53,gene,['dnaX'],1,26813,28505,43.557919621749406,BSU_00190
54,CDS,['dnaX'],1,26813,28505,43.557919621749406,BSU_00190
55,gene,['ebfC'],1,28528,28852,39.50617283950617,BSU_00200
56,CDS,['ebfC'],1,28528,28852,39.50617283950617,BSU_00200
57,gene,['recR'],1,28866,29463,43.21608040201005,BSU_00210
58,CDS,['recR'],1,28866,29463,43.21608040201005,BSU_00210
59,gene,['yaaL'],1,29480,29705,37.77777777777778,BSU_00220
60,CDS,['yaaL'],1,29480,29705,37.77777777777778,BSU_00220
61,gene,['bofA'],1,29771,30035,39.015151515151516,BSU_00230
62,CDS,['bofA'],1,29771,30035,39.015151515151516,BSU_00230
63,gene,['rrnA-16S'],1,30278,31832,55.01930501930502,BSU_rRNA_4
64,rRNA,['rrnA-16S'],1,30278,31832,55.01930501930502,BSU_rRNA_4
65,gene,['trnA-Ile'],1,31931,32008,62.33766233766234,BSU_tRNA_8
66,tRNA,['trnA-Ile'],1,31931,32008,62.33766233766234,BSU_tRNA_8
68,tRNA,['trnA-Ala'],1,32019,32095,65.78947368421053,BSU_tRNA_9
67,gene,['trnA-Ala'],1,32019,32095,65.78947368421053,BSU_tRNA_9
70,rRNA,['rrnA-23S'],1,32176,35103,53.87769046805603,BSU_rRNA_5
69,gene,['rrnA-23S'],1,32176,35103,53.87769046805603,BSU_rRNA_5
71,gene,['rrnA-5S'],1,35236,35355,57.98319327731093,BSU_rRNA_26
72,rRNA,['rrnA-5S'],1,35236,35355,57.98319327731093,BSU_rRNA_26
73,gene,['csfB'],1,35530,35725,32.30769230769231,BSU_00240
74,CDS,['csfB'],1,35530,35725,32.30769230769231,BSU_00240
75,gene,['xpaC'],1,35844,36459,36.91056910569105,BSU_00250
76,CDS,['xpaC'],1,35844,36459,36.91056910569105,BSU_00250
77,gene,['yaaN'],1,36477,37638,40.310077519379846,BSU_00260
78,CDS,['yaaN'],1,36477,37638,40.310077519379846,BSU_00260
79,gene,['yaaO'],1,37719,39162,42.96604296604297,BSU_00270
80,CDS,['yaaO'],1,37719,39162,42.96604296604297,BSU_00270
81,gene,['tmk'],1,39158,39797,41.158059467918626,BSU_00280
82,CDS,['tmk'],1,39158,39797,41.158059467918626,BSU_00280
83,gene,['darA'],1,39870,40200,41.81818181818181,BSU_00290
84,CDS,['darA'],1,39870,40200,41.81818181818181,BSU_00290
86,CDS,['yaaR'],1,40212,40653,36.961451247165535,BSU_00300
85,gene,['yaaR'],1,40212,40653,36.961451247165535,BSU_00300
87,gene,['holB'],1,40664,41654,41.717171717171716,BSU_00310
88,CDS,['holB'],1,40664,41654,41.717171717171716,BSU_00310
89,gene,['ricT'],1,41656,42484,42.874396135265705,BSU_00320
90,CDS,['ricT'],1,41656,42484,42.874396135265705,BSU_00320
91,gene,['dnaH'],1,42498,42858,37.77777777777778,BSU_00330
92,CDS,['dnaH'],1,42498,42858,37.77777777777778,BSU_00330
94,CDS,['trmNF'],1,42916,43660,42.33870967741936,BSU_00340
93,gene,['trmNF'],1,42916,43660,42.33870967741936,BSU_00340
95,gene,['yazA'],1,43646,43946,40.33333333333333,BSU_00350
96,CDS,['yazA'],1,43646,43946,40.33333333333333,BSU_00350
97,gene,['rsmI'],1,43920,44799,43.23094425483504,BSU_00360
98,CDS,['rsmI'],1,43920,44799,43.23094425483504,BSU_00360
99,gene,['abrB'],-1,44847,45138,35.39518900343643,BSU_00370
100,CDS,['abrB'],-1,44847,45138,35.39518900343643,BSU_00370
101,gene,['metS'],1,45632,47627,42.10526315789473,BSU_00380
102,CDS,['metS'],1,45632,47627,42.10526315789473,BSU_00380
104,CDS,['dayD'],1,47705,48473,42.31770833333333,BSU_00390
103,gene,['dayD'],1,47705,48473,42.31770833333333,BSU_00390
105,gene,['yabE'],1,48628,49942,41.55251141552511,BSU_00400
106,CDS,['yabE'],1,48628,49942,41.55251141552511,BSU_00400
107,gene,['rnmV'],1,50086,50647,46.16755793226381,BSU_00410
108,CDS,['rnmV'],1,50086,50647,46.16755793226381,BSU_00410
109,gene,['rsmA'],1,50639,51518,43.45847554038681,BSU_00420
110,CDS,['rsmA'],1,50639,51518,43.45847554038681,BSU_00420
112,CDS,['prtG'],1,51679,52552,42.2680412371134,BSU_00430
111,gene,['prtG'],1,51679,52552,42.2680412371134,BSU_00430
113,gene,['veg'],1,52762,53023,42.1455938697318,BSU_00440
114,CDS,['veg'],1,52762,53023,42.1455938697318,BSU_00440
115,gene,['sspF'],1,53182,53368,45.69892473118279,BSU_00450
116,CDS,['sspF'],1,53182,53368,45.69892473118279,BSU_00450
117,gene,['ispE'],1,53515,54385,48.04597701149425,BSU_00460
118,CDS,['ispE'],1,53515,54385,48.04597701149425,BSU_00460
119,gene,['purR'],1,54440,55298,42.65734265734265,BSU_00470
120,CDS,['purR'],1,54440,55298,42.65734265734265,BSU_00470
122,CDS,['ridA'],1,55294,55672,44.17989417989418,BSU_00480
121,gene,['ridA'],1,55294,55672,44.17989417989418,BSU_00480
123,gene,['spoVG'],1,55865,56159,44.89795918367347,BSU_00490
124,CDS,['spoVG'],1,55865,56159,44.89795918367347,BSU_00490
125,gene,['glmU'],1,56351,57722,43.180160466812545,BSU_00500
126,CDS,['glmU'],1,56351,57722,43.180160466812545,BSU_00500
127,gene,['prs'],1,57744,58698,42.662473794549264,BSU_00510
128,CDS,['prs'],1,57744,58698,42.662473794549264,BSU_00510
129,gene,['ctc'],1,58782,59397,46.17886178861789,BSU_00520
130,CDS,['ctc'],1,58782,59397,46.17886178861789,BSU_00520
131,gene,['pth'],1,59503,60070,43.56261022927689,BSU_00530
132,CDS,['pth'],1,59503,60070,43.56261022927689,BSU_00530
133,gene,['fin'],1,60129,60360,38.52813852813853,BSU_00540
134,CDS,['fin'],1,60129,60360,38.52813852813853,BSU_00540
135,gene,['mfd'],1,60429,63963,45.16129032258064,BSU_00550
136,CDS,['mfd'],1,60429,63963,45.16129032258064,BSU_00550
137,gene,['spoVT'],1,64098,64635,45.06517690875233,BSU_00560
138,CDS,['spoVT'],1,64098,64635,45.06517690875233,BSU_00560
140,CDS,['yabM'],1,64816,66415,44.46529080675422,BSU_00570
139,gene,['yabM'],1,64816,66415,44.46529080675422,BSU_00570
141,gene,['yabN'],1,66404,67874,44.82993197278912,BSU_00580
142,CDS,['yabN'],1,66404,67874,44.82993197278912,BSU_00580
143,gene,['hslR'],1,67876,68137,41.37931034482759,BSU_00590
144,CDS,['hslR'],1,67876,68137,41.37931034482759,BSU_00590
145,gene,['spcP'],1,68215,68518,39.273927392739274,BSU_00600
146,CDS,['spcP'],1,68215,68518,39.273927392739274,BSU_00600
147,gene,['spcQ'],1,68514,69150,38.9937106918239,BSU_00610
148,CDS,['spcQ'],1,68514,69150,38.9937106918239,BSU_00610
149,gene,['divIC'],1,69167,69545,39.94708994708995,BSU_00620
150,CDS,['divIC'],1,69167,69545,39.94708994708995,BSU_00620
151,gene,['yabR'],1,69625,70012,39.79328165374677,BSU_00630
152,CDS,['yabR'],1,69625,70012,39.79328165374677,BSU_00630
153,gene,['trnSL-Met1'],1,70180,70257,64.93506493506493,BSU_tRNA_10
154,tRNA,['trnSL-Met1'],1,70180,70257,64.93506493506493,BSU_tRNA_10
156,tRNA,['trnSL-Glu1'],1,70266,70338,61.111111111111114,BSU_tRNA_11
155,gene,['trnSL-Glu1'],1,70266,70338,61.111111111111114,BSU_tRNA_11
157,gene,['spoIIE'],1,70537,73021,43.76006441223833,BSU_00640
158,CDS,['spoIIE'],1,70537,73021,43.76006441223833,BSU_00640
159,gene,['yabS'],1,73105,73843,46.205962059620596,BSU_00650
160,CDS,['yabS'],1,73105,73843,46.205962059620596,BSU_00650
161,gene,['prkT'],1,73808,74825,43.85447394296952,BSU_00660
162,CDS,['prkT'],1,73808,74825,43.85447394296952,BSU_00660
164,CDS,['tilS'],1,74928,76347,44.04510218463707,BSU_00670
163,gene,['tilS'],1,74928,76347,44.04510218463707,BSU_00670
165,gene,['hprT'],1,76343,76886,39.226519337016576,BSU_00680
166,CDS,['hprT'],1,76343,76886,39.226519337016576,BSU_00680
167,gene,['ftsH'],1,76983,78897,45.97701149425287,BSU_00690
168,CDS,['ftsH'],1,76983,78897,45.97701149425287,BSU_00690
169,gene,['coaX'],1,79091,79868,42.857142857142854,BSU_00700
170,CDS,['coaX'],1,79091,79868,42.857142857142854,BSU_00700
171,gene,['hslO'],1,79879,80755,44.40639269406393,BSU_00710
172,CDS,['hslO'],1,79879,80755,44.40639269406393,BSU_00710
174,CDS,['yacD'],1,80801,81695,40.380313199105146,BSU_00720
173,gene,['yacD'],1,80801,81695,40.380313199105146,BSU_00720
175,gene,['cysK'],1,81770,82697,45.523193096008626,BSU_00730
176,CDS,['cysK'],1,81770,82697,45.523193096008626,BSU_00730
177,gene,['pabB'],1,82863,84276,42.745930644019815,BSU_00740
178,CDS,['pabB'],1,82863,84276,42.745930644019815,BSU_00740
179,gene,['pabA'],1,84289,84874,45.2991452991453,BSU_00750
180,CDS,['pabA'],1,84289,84874,45.2991452991453,BSU_00750
182,CDS,['pabC'],1,84873,85755,43.87755102040816,BSU_00760
181,gene,['pabC'],1,84873,85755,43.87755102040816,BSU_00760
183,gene,['folP'],1,85736,86594,47.55244755244755,BSU_00770
184,CDS,['folP'],1,85736,86594,47.55244755244755,BSU_00770
185,gene,['folB'],1,86586,86949,43.52617079889807,BSU_00780
186,CDS,['folB'],1,86586,86949,43.52617079889807,BSU_00780
187,gene,['folK'],1,86945,87449,43.05555555555556,BSU_00790
188,CDS,['folK'],1,86945,87449,43.05555555555556,BSU_00790
189,gene,['yazB'],1,87400,87610,42.857142857142854,BSU_00800
190,CDS,['yazB'],1,87400,87610,42.857142857142854,BSU_00800
192,CDS,['dusB'],1,87633,88635,44.81037924151697,BSU_00810
191,gene,['dusB'],1,87633,88635,44.81037924151697,BSU_00810
193,gene,['lysS'],1,88726,90226,43.333333333333336,BSU_00820
194,CDS,['lysS'],1,88726,90226,43.333333333333336,BSU_00820
195,gene,['rrnJ-16S'],1,90535,92089,55.01930501930502,BSU_rRNA_6
196,rRNA,['rrnJ-16S'],1,90535,92089,55.01930501930502,BSU_rRNA_6
197,gene,['rrnJ-23S'],1,92253,95181,53.893442622950815,BSU_rRNA_7
198,rRNA,['rrnJ-23S'],1,92253,95181,53.893442622950815,BSU_rRNA_7
199,gene,['rrnJ-5S'],1,95236,95354,57.6271186440678,BSU_rRNA_8
200,rRNA,['rrnJ-5S'],1,95236,95354,57.6271186440678,BSU_rRNA_8
201,gene,['trnJ-Val'],1,95374,95450,60.526315789473685,BSU_tRNA_12
202,tRNA,['trnJ-Val'],1,95374,95450,60.526315789473685,BSU_tRNA_12
203,gene,['trnJ-Thr'],1,95454,95530,52.63157894736842,BSU_tRNA_13
204,tRNA,['trnJ-Thr'],1,95454,95530,52.63157894736842,BSU_tRNA_13
205,gene,['trnJ-Lys'],1,95566,95642,48.68421052631579,BSU_tRNA_14
206,tRNA,['trnJ-Lys'],1,95566,95642,48.68421052631579,BSU_tRNA_14
208,tRNA,['trnJ-Leu1'],1,95648,95731,56.62650602409639,BSU_tRNA_15
207,gene,['trnJ-Leu1'],1,95648,95731,56.62650602409639,BSU_tRNA_15
210,tRNA,['trnJ-Gly'],1,95771,95846,60.0,BSU_tRNA_16
209,gene,['trnJ-Gly'],1,95771,95846,60.0,BSU_tRNA_16
211,gene,['trnJ-Leu2'],1,95860,95946,60.46511627906976,BSU_tRNA_17
212,tRNA,['trnJ-Leu2'],1,95860,95946,60.46511627906976,BSU_tRNA_17
213,gene,['trnJ-Arg'],1,95955,96032,57.14285714285714,BSU_tRNA_18
214,tRNA,['trnJ-Arg'],1,95955,96032,57.14285714285714,BSU_tRNA_18
215,gene,['trnJ-Pro'],1,96059,96136,57.14285714285714,BSU_tRNA_19
216,tRNA,['trnJ-Pro'],1,96059,96136,57.14285714285714,BSU_tRNA_19
217,gene,['trnJ-Ala'],1,96145,96221,65.78947368421053,BSU_tRNA_20
218,tRNA,['trnJ-Ala'],1,96145,96221,65.78947368421053,BSU_tRNA_20
219,gene,['rrnW-16S'],1,96391,97945,54.95495495495496,BSU_rRNA_9
220,rRNA,['rrnW-16S'],1,96391,97945,54.95495495495496,BSU_rRNA_9
221,gene,['rrnW-23S'],1,98109,101037,53.893442622950815,BSU_rRNA_10
222,rRNA,['rrnW-23S'],1,98109,101037,53.893442622950815,BSU_rRNA_10
223,gene,['rrnW-5S'],1,101092,101211,57.98319327731093,BSU_rRNA_11
224,rRNA,['rrnW-5S'],1,101092,101211,57.98319327731093,BSU_rRNA_11
226,CDS,['ctsR'],1,101448,101913,33.97849462365591,BSU_00830
225,gene,['ctsR'],1,101448,101913,33.97849462365591,BSU_00830
227,gene,['mcsA'],1,101926,102484,37.096774193548384,BSU_00840
228,CDS,['mcsA'],1,101926,102484,37.096774193548384,BSU_00840
229,gene,['mcsB'],1,102483,103575,41.849816849816854,BSU_00850
230,CDS,['mcsB'],1,102483,103575,41.849816849816854,BSU_00850
231,gene,['clpC'],1,103571,106004,43.526510480887794,BSU_00860
232,CDS,['clpC'],1,103571,106004,43.526510480887794,BSU_00860
234,CDS,['radA'],1,106095,107472,45.025417574437185,BSU_00870
233,gene,['radA'],1,106095,107472,45.025417574437185,BSU_00870
235,gene,['disA'],1,107475,108558,40.35087719298245,BSU_00880
236,CDS,['disA'],1,107475,108558,40.35087719298245,BSU_00880
237,gene,['yacL'],1,108673,109774,40.236148955495004,BSU_00890
238,CDS,['yacL'],1,108673,109774,40.236148955495004,BSU_00890
239,gene,['ispD'],1,109788,110487,47.92560801144492,BSU_00900
240,CDS,['ispD'],1,109788,110487,47.92560801144492,BSU_00900
241,gene,['ispF'],1,110479,110956,46.540880503144656,BSU_00910
242,CDS,['ispF'],1,110479,110956,46.540880503144656,BSU_00910
244,CDS,['gltX'],1,111046,112498,43.18181818181818,BSU_00920
243,gene,['gltX'],1,111046,112498,43.18181818181818,BSU_00920
245,gene,['cysE'],1,112799,113453,43.57798165137615,BSU_00930
246,CDS,['cysE'],1,112799,113453,43.57798165137615,BSU_00930
247,gene,['cysS'],1,113449,114850,43.46895074946467,BSU_00940
248,CDS,['cysS'],1,113449,114850,43.46895074946467,BSU_00940
249,gene,['mrnC'],1,114853,115285,42.129629629629626,BSU_00950
250,CDS,['mrnC'],1,114853,115285,42.129629629629626,BSU_00950
252,CDS,['rlmB'],1,115268,116018,47.46666666666667,BSU_00960
251,gene,['rlmB'],1,115268,116018,47.46666666666667,BSU_00960
253,gene,['raeA'],1,116024,116537,44.44444444444444,BSU_00970
254,CDS,['raeA'],1,116024,116537,44.44444444444444,BSU_00970
255,gene,['sigH'],1,116599,117256,40.48706240487062,BSU_00980
256,CDS,['sigH'],1,116599,117256,40.48706240487062,BSU_00980
257,gene,['rpmGB'],1,117348,117498,38.666666666666664,BSU_00990
258,CDS,['rpmGB'],1,117348,117498,38.666666666666664,BSU_00990
259,gene,['secE'],1,117531,117711,31.11111111111111,BSU_01000
260,CDS,['secE'],1,117531,117711,31.11111111111111,BSU_01000
262,CDS,['nusG'],1,117889,118423,41.19850187265918,BSU_01010
261,gene,['nusG'],1,117889,118423,41.19850187265918,BSU_01010
263,gene,['rplK'],1,118590,119016,43.42723004694836,BSU_01020
264,CDS,['rplK'],1,118590,119016,43.42723004694836,BSU_01020
265,gene,['rplA'],1,119110,119809,41.77396280400572,BSU_01030
266,CDS,['rplA'],1,119110,119809,41.77396280400572,BSU_01030
267,gene,['ldlJ'],1,119854,119995,38.297872340425535,BSU_misc_RNA_3
268,misc_RNA,['ldlJ'],1,119854,119995,38.297872340425535,BSU_misc_RNA_3
269,gene,['rplJ'],1,120060,120561,41.91616766467065,BSU_01040
270,CDS,['rplJ'],1,120060,120561,41.91616766467065,BSU_01040
271,gene,['rplL'],1,120606,120978,41.39784946236559,BSU_01050
272,CDS,['rplL'],1,120606,120978,41.39784946236559,BSU_01050
273,gene,['rlmG'],1,121067,121673,41.254125412541256,BSU_01060
274,CDS,['rlmG'],1,121067,121673,41.254125412541256,BSU_01060
275,gene,['rpoB'],1,121918,125500,45.30988274706868,BSU_01070
276,CDS,['rpoB'],1,121918,125500,45.30988274706868,BSU_01070
277,gene,['rpoC'],1,125561,129161,44.861111111111114,BSU_01080
278,CDS,['rpoC'],1,125561,129161,44.861111111111114,BSU_01080
279,gene,['rulS'],1,129339,129588,41.365461847389554,BSU_01090
280,CDS,['rulS'],1,129339,129588,41.365461847389554,BSU_01090
282,CDS,['rpsL'],1,129701,130118,43.884892086330936,BSU_01100
281,gene,['rpsL'],1,129701,130118,43.884892086330936,BSU_01100
283,gene,['rpsG'],1,130159,130630,42.038216560509554,BSU_01110
284,CDS,['rpsG'],1,130159,130630,42.038216560509554,BSU_01110
285,gene,['fusA'],1,130683,132762,43.57864357864358,BSU_01120
286,CDS,['fusA'],1,130683,132762,43.57864357864358,BSU_01120
287,gene,['tufA'],1,132881,134072,43.91267842149455,BSU_01130
288,CDS,['tufA'],1,132881,134072,43.91267842149455,BSU_01130
289,gene,['ybaC'],1,134170,135127,40.020898641588296,BSU_01140
290,CDS,['ybaC'],1,134170,135127,40.020898641588296,BSU_01140
291,gene,['rpsJ'],1,135363,135672,38.83495145631068,BSU_01150
292,CDS,['rpsJ'],1,135363,135672,38.83495145631068,BSU_01150
293,gene,['rplC'],1,135711,136341,42.698412698412696,BSU_01160
294,CDS,['rplC'],1,135711,136341,42.698412698412696,BSU_01160
295,gene,['rplD'],1,136368,136992,42.30769230769231,BSU_01170
296,CDS,['rplD'],1,136368,136992,42.30769230769231,BSU_01170
298,CDS,['rplW'],1,136991,137279,38.88888888888889,BSU_01180
297,gene,['rplW'],1,136991,137279,38.88888888888889,BSU_01180
299,gene,['rplB'],1,137310,138144,43.884892086330936,BSU_01190
300,CDS,['rplB'],1,137310,138144,43.884892086330936,BSU_01190
301,gene,['rpsS'],1,138201,138480,40.86021505376344,BSU_01200
302,CDS,['rpsS'],1,138201,138480,40.86021505376344,BSU_01200
303,gene,['rplV'],1,138496,138838,43.859649122807014,BSU_01210
304,CDS,['rplV'],1,138496,138838,43.859649122807014,BSU_01210
306,CDS,['rpsC'],1,138841,139498,44.1400304414003,BSU_01220
305,gene,['rpsC'],1,138841,139498,44.1400304414003,BSU_01220
307,gene,['rplP'],1,139499,139934,43.44827586206896,BSU_01230
308,CDS,['rplP'],1,139499,139934,43.44827586206896,BSU_01230
309,gene,['rpmC'],1,139923,140124,37.3134328358209,BSU_01240
310,CDS,['rpmC'],1,139923,140124,37.3134328358209,BSU_01240
311,gene,['rpsQ'],1,140146,140410,36.36363636363637,BSU_01250
312,CDS,['rpsQ'],1,140146,140410,36.36363636363637,BSU_01250
313,gene,['rplNA'],1,140450,140819,43.08943089430895,BSU_01260
314,CDS,['rplNA'],1,140450,140819,43.08943089430895,BSU_01260
316,CDS,['rplX'],1,140856,141168,39.743589743589745,BSU_01270
315,gene,['rplX'],1,140856,141168,39.743589743589745,BSU_01270
317,gene,['rplE'],1,141194,141734,41.48148148148148,BSU_01280
318,CDS,['rplE'],1,141194,141734,41.48148148148148,BSU_01280
319,gene,['rpsNA'],1,141756,141942,41.935483870967744,BSU_01290
320,CDS,['rpsNA'],1,141756,141942,41.935483870967744,BSU_01290
321,gene,['rpsH'],1,141973,142372,40.35087719298245,BSU_01300
322,CDS,['rpsH'],1,141973,142372,40.35087719298245,BSU_01300
324,CDS,['rplF'],1,142401,142941,42.77777777777778,BSU_01310
323,gene,['rplF'],1,142401,142941,42.77777777777778,BSU_01310
325,gene,['rplR'],1,142973,143336,42.97520661157025,BSU_01320
326,CDS,['rplR'],1,142973,143336,42.97520661157025,BSU_01320
327,gene,['rpsE'],1,143360,143861,44.31137724550898,BSU_01330
328,CDS,['rpsE'],1,143360,143861,44.31137724550898,BSU_01330
329,gene,['rpmD'],1,143874,144054,37.22222222222222,BSU_01340
330,CDS,['rpmD'],1,143874,144054,37.22222222222222,BSU_01340
331,gene,['rplO'],1,144084,144525,43.99092970521542,BSU_01350
332,CDS,['rplO'],1,144084,144525,43.99092970521542,BSU_01350
334,CDS,['secY'],1,144526,145822,41.74382716049383,BSU_01360
333,gene,['secY'],1,144526,145822,41.74382716049383,BSU_01360
335,gene,['adk'],1,145876,146530,43.27217125382263,BSU_01370
336,CDS,['adk'],1,145876,146530,43.27217125382263,BSU_01370
337,gene,['mapA'],1,146526,147273,44.310575635876845,BSU_01380
338,CDS,['mapA'],1,146526,147273,44.310575635876845,BSU_01380
339,gene,['ybzG'],1,147311,147536,38.666666666666664,BSU_01389
340,CDS,['ybzG'],1,147311,147536,38.666666666666664,BSU_01389
341,gene,['infA'],1,147584,147803,40.63926940639269,BSU_01390
342,CDS,['infA'],1,147584,147803,40.63926940639269,BSU_01390
343,gene,['rpmJ'],1,147836,147950,32.45614035087719,BSU_01400
344,CDS,['rpmJ'],1,147836,147950,32.45614035087719,BSU_01400
345,gene,['rpsM'],1,147972,148338,43.169398907103826,BSU_01410
346,CDS,['rpsM'],1,147972,148338,43.169398907103826,BSU_01410
347,gene,['rpsK'],1,148358,148754,45.707070707070706,BSU_01420
348,CDS,['rpsK'],1,148358,148754,45.707070707070706,BSU_01420
349,gene,['rpoA'],1,148930,149875,41.7989417989418,BSU_01430
350,CDS,['rpoA'],1,148930,149875,41.7989417989418,BSU_01430
352,CDS,['rplQ'],1,149952,150315,44.352617079889804,BSU_01440
351,gene,['rplQ'],1,149952,150315,44.352617079889804,BSU_01440
353,gene,['ecfA'],1,150442,151288,44.680851063829785,BSU_01450
354,CDS,['ecfA'],1,150442,151288,44.680851063829785,BSU_01450
355,gene,['ecfAB'],1,151302,152133,45.246690734055356,BSU_01460
356,CDS,['ecfAB'],1,151302,152133,45.246690734055356,BSU_01460
357,gene,['ecfT'],1,152129,152927,41.854636591478695,BSU_01470
358,CDS,['ecfT'],1,152129,152927,41.854636591478695,BSU_01470
360,CDS,['truA'],1,152936,153680,47.17741935483871,BSU_01480
359,gene,['truA'],1,152936,153680,47.17741935483871,BSU_01480
361,gene,['ldlM'],1,153736,153793,42.10526315789473,BSU_misc_RNA_4
362,misc_RNA,['ldlM'],1,153736,153793,42.10526315789473,BSU_misc_RNA_4
363,gene,['rplM'],1,153841,154279,41.78082191780822,BSU_01490
364,CDS,['rplM'],1,153841,154279,41.78082191780822,BSU_01490
365,gene,['rpsI'],1,154299,154692,45.5470737913486,BSU_01500
366,CDS,['rpsI'],1,154299,154692,45.5470737913486,BSU_01500
368,CDS,['ybaJ'],1,155155,155923,40.625,BSU_01510
367,gene,['ybaJ'],1,155155,155923,40.625,BSU_01510
370,CDS,['ybaK'],1,156108,156552,38.73873873873874,BSU_01520
369,gene,['ybaK'],1,156108,156552,38.73873873873874,BSU_01520
371,gene,['cwlD'],1,156611,157325,43.69747899159664,BSU_01530
372,CDS,['cwlD'],1,156611,157325,43.69747899159664,BSU_01530
373,gene,['salA'],1,157420,158479,44.38149197355996,BSU_01540
374,CDS,['salA'],1,157420,158479,44.38149197355996,BSU_01540
375,gene,['gerD'],-1,158514,159072,37.096774193548384,BSU_01550
376,CDS,['gerD'],-1,158514,159072,37.096774193548384,BSU_01550
377,gene,['kbaA'],1,159181,159778,38.860971524288104,BSU_01560
378,CDS,['kbaA'],1,159181,159778,38.860971524288104,BSU_01560
380,CDS,['pdaB'],-1,159778,160543,41.96078431372549,BSU_01570
379,gene,['pdaB'],-1,159778,160543,41.96078431372549,BSU_01570
381,gene,['rrnI-16S'],1,160892,162445,54.73277527366388,BSU_rRNA_23
382,rRNA,['rrnI-16S'],1,160892,162445,54.73277527366388,BSU_rRNA_23
383,gene,['rrnI-23S'],1,162609,165535,53.896103896103895,BSU_rRNA_14
